lang,total,native_speakers,real_coverage,relative_interest
en,118355,841000000,0.014073127229488704,100
es,43077,489000000,0.0088092024539877297,62.59591283683563
fr,2229,163000000,0.00136748466257668707,9.716992110405085
pt,2137,218000000,0.000980275229357798232,6.965582086856561
ru,1308,276000000,0.000473913043478260882,3.367503439358011
de,1168,106000000,0.0011018867924528302,7.829722381418868
it,1116,72000000,0.0015500,11.01389886358836
tr,560,50800000,0.00110236220472440948,7.833100537985116
nl,327,,0.0,
sv,89,,0.0,
da,55,5500000,0.00100,7.105741202315069
fi,35,5400000,0.000648148148148148130,4.605573001500508
hu,27,,0.0,
