symbol,repeats
AAPL,407
FB,42
SPY,19
TSLA,18
ign,17
APPLE,13
GOOG,13
APPL,13
GOOGL,12
AMZN,11
aapl,11
C,10
MSFT,10
IBM,7
INTC,6
GE,6
CSCO,6
BAC,6
SBUX,6
QQQ,6
ANZ,6
T,6
SPX,5
XOM,5
NFLX,5
TWTR,4
FIT,4
APO,3
ORCL,3
QLIK,3
BXLT,3
CMCSA,3
MDVN,3
HUM,3
EVR,3
DWA,3
JPM,3
appl,3
IEP,3
TAPM,3
CDNL,3
SIML,3
PCLN,3
K,3
ABT,3
LTNC,3
TLOG,3
AET,3
FXI,2
HJOE,2
AUDUSD,2
SCTY,2
LNKD,2
APLE,2
VZ,2
GM,2
UA,2
UNG,2
PRGN,2
EGLE,2
SFOR,2
STUDY,2
NVAX,1
ESF,1
GFOX,1
SRPT,1
A,1
tock,1
CHU,1
ale,1
ASX,1
GERN,1
VLKAY,1
AMD,1
BPI,1
GLO,1
twtr,1
DJIA,1
hort,1
hit,1
DIA,1
TSM,1
gib.a,1
CHL,1
Aapl,1
Appl,1
QCOM,1
XLP,1
LABU,1
IWM,1
TRTC,1
ES_F,1
dis,1
ETE,1
YUM,1
CRUS,1
QRVO,1
GPRO,1
gnk,1
TVIX,1
