column_a,total_users
1 repeat,94550
2 repeat,9648
3 repeat,2824
4 repeat,1231
5 repeat,724
6 repeat,418
7 repeat,290
8 repeat,209
9 repeat,146
10 repeat,123
11 repeat,91
12 repeat,84
13 repeat,70
14 repeat,53
15 repeat,44
16 repeat,30
17 repeat,38
18 repeat,40
19 repeat,24
20 repeat,29
21 repeat,24
22 repeat,21
23 repeat,21
24 repeat,18
25 repeat,28
26 repeat,12
27 repeat,11
28 repeat,11
29 repeat,13
30 repeat,17
31 repeat,8
32 repeat,8
33 repeat,13
34 repeat,12
35 repeat,4
36 repeat,9
37 repeat,10
38 repeat,11
39 repeat,9
40 repeat,7
41 repeat,10
42 repeat,7
43 repeat,5
44 repeat,10
45 repeat,13
46 repeat,7
47 repeat,10
48 repeat,8
49 repeat,10
50 repeat,8
51 repeat,7
52 repeat,4
53 repeat,8
54 repeat,6
55 repeat,6
56 repeat,3
57 repeat,7
58 repeat,2
59 repeat,5
60 repeat,4
61 repeat,7
62 repeat,2
63 repeat,4
64 repeat,4
65 repeat,6
66 repeat,5
67 repeat,3
68 repeat,1
70 repeat,2
71 repeat,6
72 repeat,2
73 repeat,2
74 repeat,4
75 repeat,1
76 repeat,4
78 repeat,2
79 repeat,3
81 repeat,1
82 repeat,3
83 repeat,2
86 repeat,1
87 repeat,1
88 repeat,1
90 repeat,1
91 repeat,1
92 repeat,2
93 repeat,2
94 repeat,1
95 repeat,1
98 repeat,1
100 repeat,1
101 repeat,1
103 repeat,1
106 repeat,1
108 repeat,2
117 repeat,1
121 repeat,1
128 repeat,1
147 repeat,1
156+ repeat,11
